country,Region,Surface area (km2),"Population density (per km2, 2017)"
Afghanistan,SouthernAsia,652864,54.4
Albania,SouthernEurope,28748,106.9
Algeria,NorthernAfrica,2381741,17.3
American Samoa,Polynesia,199,278.2
Andorra,SouthernEurope,468,163.8
Angola,MiddleAfrica,1246700,23.9
Anguilla,Caribbean,91,165.7
Antigua and Barbuda,Caribbean,442,231.8
Argentina,SouthAmerica,2780400,16.2
Armenia,WesternAsia,29743,102.9
Aruba,Caribbean,180,584.8
Australia,Oceania,7692060,3.2
Austria,WesternEurope,83871,106.0
Azerbaijan,WesternAsia,86600,118.9
Bahamas,Caribbean,13940,39.5
Bahrain,WesternAsia,771,1963.9
Bangladesh,SouthernAsia,147570,1265.0
Barbados,Caribbean,431,664.5
Belarus,EasternEurope,207600,46.7
Belgium,WesternEurope,30528,377.5
Belize,CentralAmerica,22966,16.4
Benin,WesternAfrica,114763,99.1
Bermuda,NorthernAmerica,53,1227.0
Bhutan,SouthernAsia,38394,21.2
Bolivia,SouthAmerica,1098581,10.2
"Bonaire, Sint Eustatius and Saba",Caribbean,-99,77.4
Bosnia and Herzegovina,SouthernEurope,51209,68.8
Botswana,SouthernAfrica,582000,4.0
Brazil,SouthAmerica,8515767,25.0
British Virgin Islands,Caribbean,151,208.0
Brunei Darussalam,South-easternAsia,5765,81.3
Bulgaria,EasternEurope,111002,65.3
Burkina Faso,WesternAfrica,272967,70.2
Burundi,EasternAfrica,27830,423.1
Cabo Verde,WesternAfrica,4033,135.6
Cambodia,South-easternAsia,181035,90.7
Cameroon,MiddleAfrica,475650,50.9
Canada,NorthernAmerica,9984670,4.0
Cayman Islands,Caribbean,264,256.5
Central African Republic,MiddleAfrica,622984,7.5
Chad,MiddleAfrica,1284000,11.8
Channel Islands,NorthernEurope,180,870.1
Chile,SouthAmerica,756102,24.3
"Hong Kong S.A.R., China",EasternAsia,1106,7014.2
"China, Macao SAR",EasternAsia,30,20821.6
China,EasternAsia,9600000,150.1
Colombia,SouthAmerica,1141748,44.2
Comoros,EasternAfrica,2235,437.4
Congo,MiddleAfrica,342000,15.4
Cook Islands,Polynesia,236,72.4
Costa Rica,CentralAmerica,51100,96.1
Croatia,SouthernEurope,56594,74.9
Cuba,Caribbean,109884,107.9
Cyprus,WesternAsia,9251,127.7
Czech Republic,EasternEurope,78868,137.5
Democratic People's Republic of Korea,EasternAsia,120538,211.7
Democratic Republic of the Congo,MiddleAfrica,2344858,35.9
Denmark,NorthernEurope,42921,135.1
Djibouti,EasternAfrica,23200,41.3
Dominica,Caribbean,750,98.6
Dominican Republic,Caribbean,48671,222.8
Ecuador,SouthAmerica,257217,66.9
Egypt,NorthernAfrica,1002000,98.0
El Salvador,CentralAmerica,21041,307.8
Equatorial Guinea,MiddleAfrica,28052,45.2
Eritrea,EasternAfrica,117600,50.2
